Property Name,Property Cost,Property Type,Property Area,Property Locality
Sublime Spring Elmas,₹ 77.63 L - 1.4 Cr,3 BHKApartment,(73.76 - 103.1 sq.m.),BGS School Greater NoidaNUMED super specialty hospitalEk Murti Buddha ChowkGaur ChowkGaur City Mall
Adani Brahma Samsara Vilasa,₹ 2.43 - 15.75 Cr,3 BHKIndependent Floor,(167.23 - 292.64 sq.m.),Lotus Valley International SchoolCK Birla HospitalParas Trinity Mall Sector 63Rapid Metro Station Sector 56De Adventure Park
Sheth Montana,₹ 1.47 - 2.56 Cr,2 BHKApartment,(55.18 - 83.8 sq.m.),Fortis Hospital MulundR GalleriaNES International School MumbaiOpal Square IT parkMumbai - Agra National Highway
Sheth Zuri,₹ 98 L - 1.35 Cr,1 BHKApartment,(37.25 - 47.85 sq.m.),"Jupiter Hospital, ThaneCadbury JunctionKorum MallSmt. Sulochanadevi Singhania SchoolTCS Swastik Garden"
Sheth Vasant Lawns,₹ 1.8 - 1.81 Cr,2 BHKApartment,(70.05 - 70.51 sq.m.),"TCS, Yantra ParkPokharan Rd Number 2NH 48Jupiter Hospital, ThaneSmt. Sunitidevi Singhania school"
Sheth Avante,₹ 1.17 - 1.42 Cr,1 BHKApartment,(40.78 - 51.56 sq.m.),Lal Bahadur Shastri RoadKanjur Marg Railway StationEastern Express HwyORCHIDS The International SchoolIndian Institute of Technology Bombay
Rustomjee Crown,₹ 7.88 - 10.59 Cr,3 BHKApartment,(124.03 - 137.78 sq.m.),PrabhadeviIKEA Worli City StorePunamiya HospitalSMAAASHSiddhivinayak Healthcare
Marathon Nexzone,₹ 50 - 57.86 L,1 BHKApartment,(39.02 - 45.15 sq.m.),JNPT RoadNH 66Kendriya Vidyalaya ONGC PanvelSomatne Railway StationGandhi Super Speciality Hospital
Asmita Grand Maison,₹ 70.49 - 71.5 L,1 BHKApartment,(45.24 - 45.78 sq.m.),Thakur Stadium MCGM GroundWockhardt HospitalRassaz ICSE And Intl School Mira RdMira Road Railway StationGCC Hotel and Club
Marathon Neovalley,₹ 47.99 - 68.99 L,1 BHKApartment,(22.95 - 35.3 sq.m.),Vihar lake sceneriesBank of BarodaSai Sparsh HospitalGadhav NakaBhandup station and metro
Piramal Vaikunth,₹ 89 L - 1.04 Cr,1 BHKApartment,(42.27 - 47.66 sq.m.),NH848Narayana e-Techno SchoolUniversity of Mumbai Thane Sub-CampusLake City MallThaneone Corporate Business IT Park
Piramal Aranya,₹ 2.35 - 6.98 Cr,2 BHKApartment,(58.99 - 101.54 sq.m.),Suffah English SchoolMasina Hospital TrustChinchpokli Railway StationChhatrapati Shivaji Maharaj AirportMahalaxmi Metro Station
Codename 25 Hour Life,₹ 87 L - 9.6 Cr,2 BHKApartment,(52.49 - 58.62 sq.m.),NH 48R-Mall Thane westTieten Medicity ManpadaTikuji-ni-WadiORCHIDS The International School Thane
Kalpataru Paramount,₹ 91 L - 1.97 Cr,2 BHKApartment,(47.57 - 66.15 sq.m.),High Street MallProposed Metro StationGhodbunder RoadEastern Express HighwayWonder Mall
Piramal Mahalaxmi,₹ 3.16 - 6.1 Cr,2 BHKApartment,(68.75 - 79.8 sq.m.),Mahalaxmi Railway StationEastern Express HighwayPhoenix PalladiumFour Seasons Hotel MumbaiTata Memorial Hospital
